# List of millisecond pulsars with intrinsic spin-down rates (P0<30 ms, P1<1e-20)
# 10 from globular clusters, remaining are Galactic-field pulsars
# For 36, the intrinsic Pdot (NewP1) are from the literature 
# 109 from estimation, assuming 87+/-13 km/s, if no proper motion measurement
# using the DM distance inferred from the YMW16 model (asumming 30% error in distance), if no measurement of distance

PSR          P0          P1              NewP1           ErrP1
J1833-3840 	 0.00187 	 1.77300e-20 	 1.62139e-20 	 3.59355e-22
J0337+1715 	 0.00273 	 1.76660e-20 	 1.71519e-20 	 6.16118e-23
J1045-4509 	 0.00747 	 1.76640e-20 	 1.85000e-20 	 1.00000e-22
J0318+0253 	 0.00519 	 1.76200e-20 	 1.43418e-20 	 1.59662e-21
J0614-3329 	 0.00315 	 1.75000e-20 	 1.75719e-20 	 7.00011e-22
J1312+0051 	 0.00423 	 1.75270e-20 	 1.20000e-20 	 1.00000e-21
J1826-2415 	 0.00470 	 1.73600e-20 	 1.44114e-20 	 7.51365e-22
J1944+0907 	 0.00519 	 1.73367e-20 	 6.62785e-21 	 1.73447e-21
J1012+5307 	 0.00526 	 1.71270e-20 	 8.00000e-21 	 2.00000e-21
J1911+1347 	 0.00462 	 1.69244e-20 	 1.67219e-20 	 5.54266e-23
J0248+4230 	 0.00260 	 1.68730e-20 	 1.55943e-20 	 5.73286e-22
J1959+2048 	 0.00161 	 1.68515e-20 	 1.19487e-20 	 8.07960e-22
J1928+1245 	 0.00302 	 1.68000e-20 	 2.40000e-21 	 7.00000e-22
J1543-5149 	 0.00206 	 1.61590e-20 	 1.54000e-20 	 3.00000e-22
J1537-5312 	 0.00693 	 1.58600e-20 	 1.37182e-20 	 9.33292e-22
J1603-7202 	 0.01484 	 1.56292e-20 	 1.45224e-20 	 1.83844e-22
#J1142+0119 	 0.00507 	 1.49900e-20    -2.80645e-19 	 1.49682e-19
J0711-6830 	 0.00549 	 1.49073e-20 	 1.43310e-20 	 1.00295e-22
J2214+3000 	 0.00312 	 1.47285e-20 	 1.28911e-20 	 3.94710e-22
J0955-6150 	 0.00200 	 1.42600e-20 	 1.39006e-20 	 1.60826e-21
J1732-5049 	 0.00531 	 1.41910e-20 	 1.11039e-20 	 3.82442e-22
J2039-5617 	 0.00265 	 1.41640e-20 	 1.16000e-20 	 2.00000e-22
J1431-4715 	 0.00201 	 1.41100e-20 	 1.46000e-20 	 9.00000e-22
J2339-0533 	 0.00288 	 1.41020e-20 	 1.34370e-20 	 2.84265e-22
J2042+0246 	 0.00453 	 1.40300e-20 	 1.00000e-20 	 1.00000e-21
J1909-3744 	 0.00295 	 1.40254e-20 	 2.60000e-21 	 3.00000e-23
J1911-1114 	 0.00363 	 1.39500e-20 	 1.11775e-20 	 4.14517e-22
J2302+4442 	 0.00519 	 1.38681e-20 	 1.38369e-20 	 6.77634e-23
J1908+2105 	 0.00256 	 1.38350e-20 	 1.34340e-20 	 4.28366e-22
J1811-2405 	 0.00266 	 1.37756e-20 	 1.32346e-20 	 5.80638e-23
J1937+1658 	 0.00396 	 1.32020e-20 	 1.34000e-20 	 3.00000e-22
J1747-4036 	 0.00164 	 1.31420e-20 	 1.14975e-20 	 2.08888e-21
J2051-0827 	 0.00451 	 1.27330e-20 	 1.23043e-20 	 9.66173e-23
J0533+6759 	 0.00439 	 1.26100e-20 	 1.08434e-20 	 7.54963e-22
J1955+6708 	 0.00856 	 1.26000e-20 	 2.73078e-21 	 2.34375e-21
#J1813-2621 	 0.00443 	 1.24660e-20 	-7.73361e-21 	 1.07742e-20
J1421-4409 	 0.00639 	 1.23660e-20 	 6.00000e-21 	 1.00000e-21
J0610-2100 	 0.00386 	 1.23500e-20 	 1.15558e-21 	 1.78493e-21
J0740+6620 	 0.00288 	 1.21905e-20 	 3.59499e-21 	 1.36623e-21
J2234+0611 	 0.00358 	 1.20142e-20 	 6.47000e-21 	 2.50000e-22
J1453+1902 	 0.00579 	 1.16560e-20 	 1.00206e-20 	 3.54315e-22
J1622-0315 	 0.00384 	 1.16000e-20 	 1.11000e-20 	 1.00000e-22
J0023+0923 	 0.00305 	 1.14235e-20 	 9.20214e-21 	 4.18362e-22
J1708-3506 	 0.00451 	 1.14210e-20 	 8.50000e-21 	 9.00000e-22
J2256-1024 	 0.00229 	 1.13535e-20 	 1.08255e-20 	 2.41671e-21
J1751-2857 	 0.00391 	 1.12100e-20 	 1.00087e-20 	 1.31482e-22
J1653-2054 	 0.00413 	 1.11700e-20 	 8.73122e-21 	 6.64832e-22
J1658-5324 	 0.00244 	 1.11540e-20 	 1.09052e-20 	 2.10308e-23
J2033+1734 	 0.00595 	 1.11460e-20 	 8.65376e-21 	 5.48399e-22
J1227-4853 	 0.00169 	 1.11000e-20 	 8.60820e-21 	 1.27504e-21
J1855-1436 	 0.00359 	 1.09000e-20 	 9.23194e-21 	 3.36340e-22
J1850+0124 	 0.00356 	 1.09000e-20 	 9.96101e-21 	 7.37957e-22
J1221-0633 	 0.00193 	 1.08500e-20 	 9.80384e-21 	 7.09702e-22
J1630+3734 	 0.00332 	 1.07700e-20 	 8.60000e-21 	 9.00000e-22
J1844+0115 	 0.00419 	 1.07000e-20 	 1.00907e-20 	 4.97785e-22
J1903-7051 	 0.00360 	 1.04300e-20 	 7.72850e-21 	 4.67200e-22
J0030+0451 	 0.00487 	 1.01720e-20 	 1.01425e-20 	 2.71508e-23
